probe_id,off_target_genes
ENSMUSG00000007670|Khsrp|9fd7496,ENSMUSG00000083930|Gm13042
ENSMUSG00000007805|Twist2|0ff5c05,ENSMUSG00000035799|Twist1
ENSMUSG00000007850|Hnrnph1|74790f4,ENSMUSG00000045427|Hnrnph2;ENSMUSG00000091223|Gm8775
ENSMUSG00000008036|Ap2s1|fa59d14,ENSMUSG00000082115|Gm15490
ENSMUSG00000008333|Snrpb2|072b548,ENSMUSG00000111548|Gm8162
ENSMUSG00000008690|Ncaph2|d1cdb1d,ENSMUSG00000116691|Gm8363
ENSMUSG00000009079|Ewsr1|a2bf16b,ENSMUSG00000112550|Gm6627
ENSMUSG00000010054|Tusc2|caf0c28,ENSMUSG00000096476|Gm12453
ENSMUSG00000011257|Pabpc4|86325de,ENSMUSG00000062093|Gm10110;ENSMUSG00000094566|Gm12620;ENSMUSG00000093978|Gm12612;ENSMUSG00000093924|Gm12623;ENSMUSG00000094278|Gm12626
ENSMUSG00000011306|Sugp1|37846e4,ENSMUSG00000107836|Gm5315
ENSMUSG00000011832|Evi5l|0a9922d,ENSMUSG00000011831|Evi5
ENSMUSG00000012422|Tmem167|0db0ff6,ENSMUSG00000117010|Gm49933
ENSMUSG00000013878|Rnf170|b5f3da5,ENSMUSG00000101800|Rnf170-ps
ENSMUSG00000014769|Psmb1|927f8a9,ENSMUSG00000081418|Gm14830
ENSMUSG00000015176|Nolc1|833864b,ENSMUSG00000051537|Gm5124
ENSMUSG00000015478|Rnf5|b2293d9,ENSMUSG00000110726|Gm18101
ENSMUSG00000015656|Hspa8|7dcb326,ENSMUSG00000100801|Gm15459;ENSMUSG00000107951|Gm6210;ENSMUSG00000100025|Gm8141
ENSMUSG00000016257|Prelid3b|1cee839,ENSMUSG00000106889|Gm7463
ENSMUSG00000016382|Pls3|cdcfa76,ENSMUSG00000049493|Pls1
ENSMUSG00000016554|Eif3d|1295edd,ENSMUSG00000091442|Gm17031
ENSMUSG00000016619|Nup50|326b5c0,ENSMUSG00000083815|Gm13435
ENSMUSG00000016831|Tox4|aab53cb,ENSMUSG00000091020|Gm5828
ENSMUSG00000017428|Psmd11|f2123de,ENSMUSG00000080989|Gm14048
ENSMUSG00000017478|Zc3h18|cc564dc,ENSMUSG00000083258|Gm5939
ENSMUSG00000017615|Tnfaip1|421dfbf,ENSMUSG00000001098|Kctd10
ENSMUSG00000018239|Zcchc10|6a61985,ENSMUSG00000095465|Gm6214
ENSMUSG00000018567|Gabarap|d75ddae,ENSMUSG00000110288|Gm45678
ENSMUSG00000019432|Ddx39b|4b36fbf,ENSMUSG00000005481|Ddx39
ENSMUSG00000019782|Rwdd1|771a33e,ENSMUSG00000083688|Gm13743
ENSMUSG00000020075|Ddx21|2cb7272,ENSMUSG00000104065|Gm37197
ENSMUSG00000020076|Ddx50|1cd080d,ENSMUSG00000099779|Gm8228
ENSMUSG00000020328|Nudcd2|fa0111b,ENSMUSG00000082092|Gm14665
ENSMUSG00000020387|Jade2|5a2408a,ENSMUSG00000025764|Jade1
ENSMUSG00000020402|Vdac1|31743d6,ENSMUSG00000089931|Gm8459;ENSMUSG00000082164|Gm13360;ENSMUSG00000108740|Gm6008
ENSMUSG00000020440|Arf5|ac594b3,ENSMUSG00000034936|Arl4d;ENSMUSG00000044147|Arf6;ENSMUSG00000048076|Arf1;ENSMUSG00000117813|Gm5823
ENSMUSG00000020493|Prr11|3cf9fe4,ENSMUSG00000112171|Gm17820
ENSMUSG00000020537|Drg2|2a865e2,ENSMUSG00000101862|Gm8918
ENSMUSG00000020544|Cox11|866bad6,ENSMUSG00000113534|Gm19163;ENSMUSG00000116521|Gm4111;ENSMUSG00000116246|Gm4106
ENSMUSG00000020570|Sypl|b500a67,ENSMUSG00000085066|Gm4989
ENSMUSG00000020571|Pdia6|8260d2c,ENSMUSG00000107349|Gm6655
ENSMUSG00000020649|Rrm2|64b2812,ENSMUSG00000109821|Gm6593;ENSMUSG00000082566|Gm11485
ENSMUSG00000020808|Pimreg|46fdf35,ENSMUSG00000110627|Gm18935
ENSMUSG00000020857|Nme2|46c2717,ENSMUSG00000110545|Gm7730;ENSMUSG00000114056|Gm5668
ENSMUSG00000020870|Cdc34b|f3854ce,ENSMUSG00000020307|Cdc34
ENSMUSG00000021096|Ppm1a|4a33f1f,ENSMUSG00000092191|Gm7211;ENSMUSG00000092238|Gm6004
ENSMUSG00000021127|Zfp36l1|29318e4,ENSMUSG00000080942|Zfp36l1-ps
ENSMUSG00000021248|Tmed10|4d6a51a,ENSMUSG00000114251|Tmed10-ps
ENSMUSG00000021774|Ube2e1|63d953d,ENSMUSG00000107327|Gm7478;ENSMUSG00000081819|Gm12722
ENSMUSG00000021930|Spryd7|7206e6c,ENSMUSG00000109690|Gm6376
ENSMUSG00000021962|Dcp1a|b876b7c,ENSMUSG00000117782|Gm18999
ENSMUSG00000022205|Sub1|f7380e5,ENSMUSG00000106313|Gm9402;ENSMUSG00000083700|Gm2986;ENSMUSG00000113858|Gm4057
ENSMUSG00000022292|Rrm2b|98fc473,ENSMUSG00000113636|Gm8616
ENSMUSG00000022338|Eny2|da0b961,ENSMUSG00000043295|Gm16373
ENSMUSG00000022362|Gm29394|d7efb14,ENSMUSG00000022361|Zhx1
ENSMUSG00000022391|Rangap1|4f18046,ENSMUSG00000089817|Gm7162
ENSMUSG00000022403|St13|e630ea0,ENSMUSG00000111899|Gm18636
ENSMUSG00000022451|Twf1|6159021,ENSMUSG00000086229|Gm4887
ENSMUSG00000022507|1810013L24Rik|ae32d64,ENSMUSG00000082226|Gm715
ENSMUSG00000022556|Hsf1|ea8b740,ENSMUSG00000019878|Hsf2
ENSMUSG00000022584|Ly6c2|2670bdf,ENSMUSG00000099775|Gm5960
ENSMUSG00000022683|Pla2g10|2d0f8dc,ENSMUSG00000100225|Gm29097
ENSMUSG00000022773|Ypel1|2016417,ENSMUSG00000042675|Ypel3
ENSMUSG00000022811|Zfp148|ff02f13,ENSMUSG00000109601|Zfp148-ps1
ENSMUSG00000022855|Senp2|27ed1e9,ENSMUSG00000083438|Gm5402
ENSMUSG00000022858|Tra2b|bd4d95b,ENSMUSG00000082253|Gm14639;ENSMUSG00000069011|Gm10254;ENSMUSG00000105779|Gm6439;ENSMUSG00000083838|Gm11957
ENSMUSG00000022863|Btg3|f2cc117,ENSMUSG00000044645|Gm7334
ENSMUSG00000023017|Asic1|68cfaee,ENSMUSG00000033007|Asic4
ENSMUSG00000023025|Larp4|3c6a46f,ENSMUSG00000081232|Gm14373
ENSMUSG00000023043|Krt18|d4f0c02,ENSMUSG00000114358|Gm5200
ENSMUSG00000023170|Gps2|8a16fbc,ENSMUSG00000116622|Gm5221
ENSMUSG00000023456|Tpi1|33876ff,ENSMUSG00000110770|Tpi-rs5
ENSMUSG00000023764|Sfi1|b86cba9,ENSMUSG00000020457|Drg1
ENSMUSG00000023806|Rsph3b|0255074,ENSMUSG00000073471|Rsph3a
ENSMUSG00000023861|Mpc1|858e2fd,ENSMUSG00000091498|Mpc1-ps
ENSMUSG00000023944|Hsp90ab1|4841126,ENSMUSG00000083270|Gm13498;ENSMUSG00000114167|Gm7002
ENSMUSG00000023980|Taf8|7b88aa2,ENSMUSG00000101996|Gm19206
ENSMUSG00000024018|Ccdc167|58dcef6,ENSMUSG00000081573|Gm15164
ENSMUSG00000024056|Ndc80|20160d1,ENSMUSG00000110700|Gm5357
ENSMUSG00000024165|Jpt2|0b94772,ENSMUSG00000091293|Gm6047;ENSMUSG00000082250|Gm12181
ENSMUSG00000024208|Uqcc2|e9ab2d9,ENSMUSG00000104624|Gm43478
ENSMUSG00000024217|Snrpc|667b3c2,ENSMUSG00000113701|B230303A05Rik
ENSMUSG00000024269|Tpgs2|ca55ec0,ENSMUSG00000107259|Gm5298
ENSMUSG00000024273|2700062C07Rik|ea51b1f,ENSMUSG00000112068|Gm9182
ENSMUSG00000024424|Ttc39c|d54e669,ENSMUSG00000083243|Gm14668
ENSMUSG00000024835|Coro1b|6477c5d,ENSMUSG00000108377|Gm18642
ENSMUSG00000025134|Alyref|824cd77,ENSMUSG00000060244|Alyref2
ENSMUSG00000025223|Ldb1|77d5d67,ENSMUSG00000039706|Ldb2
ENSMUSG00000025353|Ormdl2|a60b79e,ENSMUSG00000107006|Gm43105
ENSMUSG00000025503|Taldo1|e2e7479,ENSMUSG00000112239|Gm17823
ENSMUSG00000025839|Pramel7|db07da9,ENSMUSG00000111122|Gm5949
ENSMUSG00000025868|Higd2a|898eb3c,ENSMUSG00000108914|Gm44908
ENSMUSG00000025945|Crygf|971471d,ENSMUSG00000070870|Cryge
ENSMUSG00000026083|Eif5b|70f83e8,ENSMUSG00000108078|Gm8744
ENSMUSG00000026238|Ptma|bc9be0c,ENSMUSG00000084274|Gm12504
ENSMUSG00000026473|Glul|0c47761,ENSMUSG00000118140|Gm4949;ENSMUSG00000118186|Gm8642
ENSMUSG00000026480|Ncf2|55bd264,ENSMUSG00000082433|Gm9025;ENSMUSG00000114429|Gm9025
ENSMUSG00000026500|Cox20|6172268,ENSMUSG00000081359|Cox20b
ENSMUSG00000026688|Mgst3|7fee130,ENSMUSG00000106939|Gm29778
ENSMUSG00000026739|Bmi1|9fdcc3d,ENSMUSG00000048592|Gm5946
ENSMUSG00000026798|Coq4|92feb0f,ENSMUSG00000112363|Gm4178
ENSMUSG00000026817|Ak1|256f9cb,ENSMUSG00000083789|Gm6092
ENSMUSG00000027255|Arfgap2|92e74b4,ENSMUSG00000083443|Gm15519
ENSMUSG00000027282|Mtch2|d5b4ba0,ENSMUSG00000083829|Gm2199
ENSMUSG00000027287|Snap23|c903db1,ENSMUSG00000104892|Gm6615
ENSMUSG00000027431|Scp2d1|4848a11,ENSMUSG00000104540|Gm3527
ENSMUSG00000027509|Rae1|31308f7,ENSMUSG00000117552|Gm5686
ENSMUSG00000027651|Rprd1b|e6f2378,ENSMUSG00000040446|Rprd1a
ENSMUSG00000027679|Dnajc19|314cac0,ENSMUSG00000116808|Gm20164
ENSMUSG00000027869|Hsd3b6|f1fefb7,ENSMUSG00000062410|Hsd3b3;ENSMUSG00000027871|Hsd3b1
ENSMUSG00000027871|Hsd3b1|2faebdf,ENSMUSG00000027869|Hsd3b6;ENSMUSG00000062410|Hsd3b3;ENSMUSG00000063730|Hsd3b2
ENSMUSG00000027940|Tpm3|8bac1e5,ENSMUSG00000032366|Tpm1
ENSMUSG00000027940|Tpm3|f14c35f,ENSMUSG00000058126|Tpm3-rs7
ENSMUSG00000027944|Hax1|e8408a6,ENSMUSG00000084013|Gm14270
ENSMUSG00000028042|Zbtb7b|5cfcfd9,ENSMUSG00000096192|Gm18856
ENSMUSG00000028044|Cks1b|d8df2a9,ENSMUSG00000103031|Gm29950
ENSMUSG00000028156|Eif4e|78a9e4f,ENSMUSG00000050900|Gm7327;ENSMUSG00000116650|Gm49657;ENSMUSG00000118335|Gm18936
ENSMUSG00000028233|Tgs1|b88712c,ENSMUSG00000093862|Gm5117
ENSMUSG00000028261|Ndufaf4|b924f32,ENSMUSG00000082371|Gm3712;ENSMUSG00000113357|Gm19195
ENSMUSG00000028337|Coro2a|de871aa,ENSMUSG00000041729|Coro2b
ENSMUSG00000028394|Pole3|dcc751e,ENSMUSG00000101522|Gm7837
ENSMUSG00000028563|Tm2d1|7479d29,ENSMUSG00000092325|Gm18284
ENSMUSG00000028678|Kif2c|785a5b0,ENSMUSG00000080919|Gm11854
ENSMUSG00000028691|Prdx1|4f019ff,ENSMUSG00000094530|Gm21399;ENSMUSG00000048164|Gm7204;ENSMUSG00000109692|Gm8575;ENSMUSG00000118022|Prdx1-ps
ENSMUSG00000028712|Cyp4a31|d819cce,ENSMUSG00000084346|Cyp4a30b
ENSMUSG00000028953|Abcf2|0767687,ENSMUSG00000080861|Gm11325
ENSMUSG00000028959|Fastk|1e7935c,ENSMUSG00000084000|Gm14653
ENSMUSG00000029030|Tprgl|5c30527,ENSMUSG00000092425|Gm8018
ENSMUSG00000029219|Slc10a4|ca893a3,ENSMUSG00000060204|Gm5868
ENSMUSG00000029268|Ugt2a2|5502577,ENSMUSG00000106677|Ugt2a1
ENSMUSG00000029364|Wsb2|eaf8c1f,ENSMUSG00000084020|Wsb2-ps
ENSMUSG00000029402|Snrnp35|80cd375,ENSMUSG00000031998|1700128F08Rik
ENSMUSG00000029433|Diablo|4c0283f,ENSMUSG00000114278|Gm49027
ENSMUSG00000029454|Mapkapk5|0cb7b9a,ENSMUSG00000072647|Adam1a
ENSMUSG00000029552|Tes|25d560d,ENSMUSG00000090102|Gm4985;ENSMUSG00000081812|Gm4789
ENSMUSG00000029554|Mad1l1|5b2ed8c,ENSMUSG00000111815|Gm6018
ENSMUSG00000029630|Cyp3a25|200820e,ENSMUSG00000061292|Cyp3a59;ENSMUSG00000070419|Cyp3a57
ENSMUSG00000029632|Ndufa4|6b49a26,ENSMUSG00000081100|Gm14630
ENSMUSG00000029638|Glcci1|549d02b,ENSMUSG00000046952|Gm5815
ENSMUSG00000029649|Pomp|ccd27ee,ENSMUSG00000115916|Gm8702
ENSMUSG00000029776|Hibadh|ff4a304,ENSMUSG00000091859|Vmn2r100
ENSMUSG00000029836|Cbx3|a9f4949,ENSMUSG00000057886|Cbx3-ps6;ENSMUSG00000059647|Cbx3-ps7;ENSMUSG00000110887|Cbx3-ps8;ENSMUSG00000105013|Gm7721
ENSMUSG00000029911|Ssbp1|7aaadc9,ENSMUSG00000099902|Gm12115
ENSMUSG00000030079|Ruvbl1|c7507d0,ENSMUSG00000104496|Gm5837
ENSMUSG00000030131|Mug2|2dc282c,ENSMUSG00000108083|Mug4-ps
ENSMUSG00000030246|Ldhb|8cfdc69,ENSMUSG00000045104|Gm5514
ENSMUSG00000030298|Sec13|9b51e4c,ENSMUSG00000106572|4933417G07Rik
ENSMUSG00000030427|Lilra6|f4fadd8,ENSMUSG00000081723|Gm15931;ENSMUSG00000074417|Gm14548;ENSMUSG00000074420|Gm10693;ENSMUSG00000089942|Pira2;ENSMUSG00000074418|Gm15930;ENSMUSG00000081665|Gm15922;ENSMUSG00000058818|Pirb
ENSMUSG00000030435|U2af2|22f96ba,ENSMUSG00000104309|Gm5846
ENSMUSG00000030604|Zfp626|3b3d6ef,ENSMUSG00000070709|Zfp974;ENSMUSG00000078779|Zfp59;ENSMUSG00000107310|Gm7452
ENSMUSG00000030615|Tmem126a|c12d78b,ENSMUSG00000083906|Gm15186
ENSMUSG00000030649|Anapc15|ec094f6,ENSMUSG00000081340|Gm12275
ENSMUSG00000030663|1110004F10Rik|21fb487,ENSMUSG00000098198|Gm9169;ENSMUSG00000106068|Gm9497
ENSMUSG00000030674|Qprt|03de8e3,ENSMUSG00000082228|Gm8344
ENSMUSG00000030680|Pagr1a|6f9f264,ENSMUSG00000107068|Gm42742
ENSMUSG00000030750|Nsmce1|a3b9e9b,ENSMUSG00000117651|Gm6452
ENSMUSG00000030842|Lamtor1|0b4ea8d,ENSMUSG00000083458|Gm5510;ENSMUSG00000081544|Gm13077
ENSMUSG00000031028|Tub|5392366,ENSMUSG00000001521|Tulp3
ENSMUSG00000031059|Ndufb11|38a1db3,ENSMUSG00000080836|Gm6444
ENSMUSG00000031068|Glrx3|1f2e81c,ENSMUSG00000100863|Gm12669
ENSMUSG00000031125|3830403N18Rik|55ce4ea,ENSMUSG00000054626|Xlr
ENSMUSG00000031148|Gpkow|cb855fc,ENSMUSG00000081436|Gm5912
ENSMUSG00000031149|Praf2|e8de7f5,ENSMUSG00000113192|Gm18032
ENSMUSG00000031167|Rbm3|2c092ca,ENSMUSG00000066245|Gm10156;ENSMUSG00000114277|Gm48583
ENSMUSG00000031286|Glt28d2|210d79f,ENSMUSG00000041718|Alg13
ENSMUSG00000031388|Naa10|7732237,ENSMUSG00000024571|Gm16286
ENSMUSG00000031424|Kir3dl1|ec7dbbc,ENSMUSG00000057439|Kir3dl2
ENSMUSG00000031671|Setd6|5e1b08c,ENSMUSG00000083903|Gm5405
ENSMUSG00000031708|Tecr|a96bee5,ENSMUSG00000117257|Gm4948
ENSMUSG00000031778|Cx3cl1|ea7638b,ENSMUSG00000020676|Ccl11
ENSMUSG00000031799|Tpm4|d4eecbb,ENSMUSG00000099397|Gm7809;ENSMUSG00000028464|Tpm2
ENSMUSG00000031818|Cox4i1|d40854d,ENSMUSG00000082210|Gm14382
ENSMUSG00000031832|Taf1c|aa1c549,ENSMUSG00000115836|Gm49060
ENSMUSG00000031877|Ces2g|d80e86e,ENSMUSG00000110568|Gm7208
ENSMUSG00000031913|Vps4a|7db638f,ENSMUSG00000090027|Gm15740
ENSMUSG00000031939|Taf1d|c5cf566,ENSMUSG00000083449|Gm13487
ENSMUSG00000032217|Rnf111|543bf56,ENSMUSG00000103733|Gm6162
ENSMUSG00000032307|Ube2q2|d9406ac,ENSMUSG00000044268|Gm4895
ENSMUSG00000032352|Lrrc1|48aaee9,ENSMUSG00000022568|Scrib
ENSMUSG00000032369|Plscr1|a60dc64,ENSMUSG00000087008|Gm5530
ENSMUSG00000032375|Aph1b|8deaa54,ENSMUSG00000053040|Aph1c
ENSMUSG00000032624|Eml4|c6b5e01,ENSMUSG00000058070|Eml1
ENSMUSG00000032725|Folr2|05ba087,ENSMUSG00000001827|Folr1;ENSMUSG00000116025|Gm49517
ENSMUSG00000032803|Cdv3|3c36352,ENSMUSG00000083642|Gm13148
ENSMUSG00000032808|Cyp2c38|91101ab,ENSMUSG00000025003|Cyp2c39
ENSMUSG00000032897|Nfyc|f7ca5f9,ENSMUSG00000073233|Gm9144
ENSMUSG00000033027|Klrc3|906c1ff,ENSMUSG00000052736|Klrc2
ENSMUSG00000033036|Gm7879|7b5cde1,ENSMUSG00000060288|Ppih;ENSMUSG00000082045|Gm11585;ENSMUSG00000110036|Gm6303;ENSMUSG00000113478|Gm18405;ENSMUSG00000101935|Gm17748;ENSMUSG00000112271|Gm9088
ENSMUSG00000033220|Rac2|4edcfe9,ENSMUSG00000018012|Rac3
ENSMUSG00000033256|Shf|6103487,ENSMUSG00000044813|Shb
ENSMUSG00000033773|Rpap2|b32a688,ENSMUSG00000117807|Gm7074
ENSMUSG00000033834|Tpbpa|3952ffe,ENSMUSG00000062705|Tpbpb
ENSMUSG00000033916|Chmp2a|7491648,ENSMUSG00000090119|Gm8185
ENSMUSG00000034243|Golgb1|279cf4a,ENSMUSG00000116908|Gm49599
ENSMUSG00000034278|Dnajc17|8fdc78a,ENSMUSG00000091866|Gm6257
ENSMUSG00000034303|Ccdc15|a641807,ENSMUSG00000108936|Gm8745
ENSMUSG00000034343|Ube2f|8cc8a48,ENSMUSG00000059301|Gm5434;ENSMUSG00000060647|Gm7099
ENSMUSG00000034424|Gcsh|4576d8a,ENSMUSG00000103658|Gm37201;ENSMUSG00000108547|Gm45186
ENSMUSG00000034566|Atp5h|89f49f1,ENSMUSG00000068706|Gm10250;ENSMUSG00000061992|Gm4953;ENSMUSG00000115484|Gm33121;ENSMUSG00000100236|Gm3841;ENSMUSG00000107891|Gm5051
ENSMUSG00000034667|Xpot|77acfa7,ENSMUSG00000097657|Gm7389
ENSMUSG00000034868|Myl12b|f76f45a,ENSMUSG00000067818|Myl9;ENSMUSG00000116536|Gm2805
ENSMUSG00000035198|Tubg1|1514dbd,ENSMUSG00000045007|Tubg2
ENSMUSG00000035227|Spcs2|2db3175,ENSMUSG00000081888|Spcs2-ps
ENSMUSG00000035235|Trim13|cb88678,ENSMUSG00000091040|Gm9359
ENSMUSG00000035529|Prdm4|1bd5571,ENSMUSG00000114316|Gm17740
ENSMUSG00000035674|Ndufa3|7c68df8,ENSMUSG00000099959|Gm29487
ENSMUSG00000035692|Isg15|fa6e1ce,ENSMUSG00000117269|Gm9706
ENSMUSG00000036112|Metap2|ad9ea1b,ENSMUSG00000108702|Gm9333
ENSMUSG00000036372|Tmem258|1f28950,ENSMUSG00000107806|Gm19726
ENSMUSG00000036751|Cox6b1|be9465d,ENSMUSG00000103396|Gm38305;ENSMUSG00000082699|Gm12736
ENSMUSG00000036934|4921524J17Rik|f74ac2f,ENSMUSG00000106836|Gm43578
ENSMUSG00000036938|Try5|b45a734,ENSMUSG00000054106|Try4
ENSMUSG00000036977|Anapc10|9610487,ENSMUSG00000081651|Gm15530
ENSMUSG00000036992|Nxt1|0681941,ENSMUSG00000117793|Gm5693
ENSMUSG00000037070|Rbmxl1|2a07b76,ENSMUSG00000110194|Gm7192;ENSMUSG00000049235|Gm7324
ENSMUSG00000037152|Ndufc1|0a67edd,ENSMUSG00000114254|Gm48067
ENSMUSG00000037236|Matr3|33b3b91,ENSMUSG00000117694|Snhg4
ENSMUSG00000037242|Clic4|1f8fc1a,ENSMUSG00000102270|Gm8388
ENSMUSG00000037296|Lsm1|a5ab8ee,ENSMUSG00000081917|Gm15209
ENSMUSG00000037477|Tbx10|145c439,ENSMUSG00000030699|Tbx6
ENSMUSG00000037536|Fbxo34|55a5af4,ENSMUSG00000083623|Gm7224;ENSMUSG00000117262|Gm9316;ENSMUSG00000092051|Gm17229
ENSMUSG00000037818|Abhd18|e659bbc,ENSMUSG00000107741|Gm2011
ENSMUSG00000037957|Wdr20|6484ae0,ENSMUSG00000035560|Wdr20rt
ENSMUSG00000038187|Btbd10|11d75b2,ENSMUSG00000084378|Gm15238
ENSMUSG00000038274|Fau|13163a6,ENSMUSG00000050299|Gm9843
ENSMUSG00000038344|Txlng|67e955c,ENSMUSG00000048334|Gm8258
ENSMUSG00000038412|Higd1a|f204191,ENSMUSG00000044330|Gm9790;ENSMUSG00000081848|Gm14925
ENSMUSG00000038510|Rpf2|4c2255a,ENSMUSG00000106496|Gm7733
ENSMUSG00000038521|C1s1|9dd90de,ENSMUSG00000079343|C1s2
ENSMUSG00000038550|Ciart|0f6a801,ENSMUSG00000112850|Gm9176
ENSMUSG00000038677|Scube3|916e16a,ENSMUSG00000083752|Gm12014;ENSMUSG00000016763|Scube1
ENSMUSG00000038690|Atp5j2|76e346f,ENSMUSG00000102248|Gm30280;ENSMUSG00000086882|Gm13352;ENSMUSG00000111446|Gm6581
ENSMUSG00000038965|Ube2l3|aab4ca1,ENSMUSG00000105156|Gm9057;ENSMUSG00000074506|Gm10705;ENSMUSG00000064208|Gm10145;ENSMUSG00000056943|Gm10015;ENSMUSG00000090114|Gm3076;ENSMUSG00000117411|Gm3744;ENSMUSG00000084170|Gm11954;ENSMUSG00000083474|Gm15267;ENSMUSG00000116647|Gm7423;ENSMUSG00000113715|Gm6562;ENSMUSG00000116934|Gm3292
ENSMUSG00000038990|Cables2|950f6d0,ENSMUSG00000113861|Gm6190
ENSMUSG00000039159|Ube2h|211221d,ENSMUSG00000074903|Gm2058
ENSMUSG00000039264|Gimap3|36ee6de,ENSMUSG00000043505|Gimap5
ENSMUSG00000039568|Ubald1|30d67df,ENSMUSG00000047370|Gm7367;ENSMUSG00000050628|Ubald2
ENSMUSG00000039671|Zmynd8|38e8eae,ENSMUSG00000082080|Gm9246;ENSMUSG00000099951|Gm9226;ENSMUSG00000101023|Gm21152;ENSMUSG00000100788|Gm21122;ENSMUSG00000101847|Gm20749
ENSMUSG00000039795|Zfand1|c94e6b3,ENSMUSG00000083879|Gm14038
ENSMUSG00000040167|Ikzf5|cd99e93,ENSMUSG00000072387|Gm10356
ENSMUSG00000040242|Fgfr1op2|a127ac3,ENSMUSG00000082145|Gm12312
ENSMUSG00000040265|Dnm3|9ce036b,ENSMUSG00000026825|Dnm1
ENSMUSG00000040390|Map3k10|ab071dd,ENSMUSG00000042724|Map3k9
ENSMUSG00000040463|Mybbp1a|0524fbb,ENSMUSG00000101564|Gm5703
ENSMUSG00000040614|Nlrp9c|ebb4cbf,ENSMUSG00000054102|Nlrp9a
ENSMUSG00000040653|Ppp1r14c|5963dd8,ENSMUSG00000089662|Gm14057
ENSMUSG00000040660|Cyp2b9|b72199a,ENSMUSG00000040583|Cyp2b13
ENSMUSG00000040681|Hmgn1|24c3699,ENSMUSG00000048709|Gm8666;ENSMUSG00000046580|Gm7862;ENSMUSG00000083522|Gm15321;ENSMUSG00000103905|Gm34379;ENSMUSG00000083967|Gm15115;ENSMUSG00000109762|Gm34779;ENSMUSG00000092317|Gm6633
ENSMUSG00000040715|Rsc1a1|4b63bbc,ENSMUSG00000078515|Ddi2
ENSMUSG00000040907|Atp1a3|72bf14f,ENSMUSG00000007107|Atp1a4
ENSMUSG00000041144|Dnah7b|a5d1c51,ENSMUSG00000101337|Dnah7c
ENSMUSG00000041220|Elovl6|b0ea7e0,ENSMUSG00000084038|Gm11295
ENSMUSG00000041303|Gtf3c3|c8828d5,ENSMUSG00000111554|Gm232
ENSMUSG00000041360|Pum3|86ff42e,ENSMUSG00000081633|Gm8522
ENSMUSG00000041431|Ccnb1|949d158,ENSMUSG00000084133|Gm12856
ENSMUSG00000042043|Tbca|0f415c1,ENSMUSG00000107639|Gm4374;ENSMUSG00000084304|Gm6142
ENSMUSG00000042167|Tent2|249d916,ENSMUSG00000083902|Gm15975
ENSMUSG00000042248|Cyp2c37|c5f5347,ENSMUSG00000067225|Cyp2c54
ENSMUSG00000042380|Smim12|ba980a3,ENSMUSG00000105595|Gm49316
ENSMUSG00000042462|Dctpp1|8e1a3b3,ENSMUSG00000111537|Gm7653
ENSMUSG00000042508|Dmtf1|6f28418,ENSMUSG00000058670|4932411N23Rik
ENSMUSG00000042814|Mcts2|5988a62,ENSMUSG00000115815|Gm8328
